Original_Index,Filename,Split,GroundTruth_CD,Predicted_CD,Error
0,TH0011AV/viewpoint_simulated_0_surface0.pcd,Testing,1.9374059438705444,1.9187452793121338,0.018660664558410645
1,TH0011AV/viewpoint_simulated_1_surface0.pcd,Testing,1.968840479850769,1.9219796657562256,0.04686081409454346
2,TH0011AV/viewpoint_simulated_10_surface0.pcd,Testing,1.969947099685669,1.9241743087768555,0.04577279090881348
3,TH0011AV/viewpoint_simulated_100_surface0.pcd,Testing,1.8592361211776733,1.917923092842102,0.05868697166442871
4,TH0011AV/viewpoint_simulated_101_surface0.pcd,Testing,2.1146299839019775,1.905155062675476,0.20947492122650146
5,TH0011AV/viewpoint_simulated_102_surface0.pcd,Testing,1.8915700912475586,1.8964396715164185,0.004869580268859863
6,TH0011AV/viewpoint_simulated_103_surface0.pcd,Testing,2.0341832637786865,1.8988510370254517,0.13533222675323486
7,TH0011AV/viewpoint_simulated_104_surface0.pcd,Testing,1.9817876815795898,1.913070559501648,0.0687171220779419
8,TH0011AV/viewpoint_simulated_105_surface0.pcd,Testing,2.027348756790161,1.9240858554840088,0.10326290130615234
9,TH0011AV/viewpoint_simulated_106_surface0.pcd,Testing,1.9215037822723389,1.924432396888733,0.002928614616394043
10,TH0011AV/viewpoint_simulated_107_surface0.pcd,Testing,2.0458824634552,1.9247767925262451,0.12110567092895508
11,TH0011AV/viewpoint_simulated_108_surface0.pcd,Testing,1.9603885412216187,1.9379751682281494,0.02241337299346924
12,TH0011AV/viewpoint_simulated_109_surface0.pcd,Testing,2.029000997543335,1.9516206979751587,0.07738029956817627
13,TH0011AV/viewpoint_simulated_11_surface0.pcd,Testing,1.8794660568237305,1.9257707595825195,0.04630470275878906
14,TH0011AV/viewpoint_simulated_110_surface0.pcd,Testing,2.0068747997283936,1.9443931579589844,0.06248164176940918
15,TH0011AV/viewpoint_simulated_111_surface0.pcd,Testing,1.8384422063827515,1.9225813150405884,0.08413910865783691
16,TH0011AV/viewpoint_simulated_112_surface0.pcd,Testing,2.0369346141815186,1.9245729446411133,0.11236166954040527
17,TH0011AV/viewpoint_simulated_113_surface0.pcd,Testing,1.9133939743041992,1.9060567617416382,0.007337212562561035
18,TH0011AV/viewpoint_simulated_114_surface0.pcd,Testing,2.0430500507354736,1.8954464197158813,0.14760363101959229
19,TH0011AV/viewpoint_simulated_115_surface0.pcd,Testing,1.8864980936050415,1.8840268850326538,0.0024712085723876953
20,TH0011AV/viewpoint_simulated_116_surface0.pcd,Testing,1.868637204170227,1.9011720418930054,0.03253483772277832
21,TH0011AV/viewpoint_simulated_117_surface0.pcd,Testing,2.026681900024414,1.9242597818374634,0.10242211818695068
22,TH0011AV/viewpoint_simulated_118_surface0.pcd,Testing,2.0873332023620605,1.9212558269500732,0.1660773754119873
23,TH0011AV/viewpoint_simulated_119_surface0.pcd,Testing,1.9461883306503296,1.920716404914856,0.025471925735473633
24,TH0011AV/viewpoint_simulated_12_surface0.pcd,Testing,2.0887019634246826,1.9302068948745728,0.15849506855010986
25,TH0011AV/viewpoint_simulated_120_surface0.pcd,Testing,2.0421361923217773,1.963409423828125,0.07872676849365234
26,TH0011AV/viewpoint_simulated_121_surface0.pcd,Testing,2.104750871658325,1.954367995262146,0.1503828763961792
27,TH0011AV/viewpoint_simulated_122_surface0.pcd,Testing,2.002326488494873,1.9471293687820435,0.05519711971282959
28,TH0011AV/viewpoint_simulated_123_surface0.pcd,Testing,1.9654338359832764,1.9380401372909546,0.027393698692321777
29,TH0011AV/viewpoint_simulated_124_surface0.pcd,Testing,2.020805835723877,1.9234685897827148,0.09733724594116211
30,TH0011AV/viewpoint_simulated_125_surface0.pcd,Testing,2.0883665084838867,1.8950456380844116,0.1933208703994751
31,TH0011AV/viewpoint_simulated_126_surface0.pcd,Testing,1.9588592052459717,1.8915998935699463,0.06725931167602539
32,TH0011AV/viewpoint_simulated_127_surface0.pcd,Testing,2.0658962726593018,1.8789992332458496,0.18689703941345215
33,TH0011AV/viewpoint_simulated_128_surface0.pcd,Testing,1.937657356262207,1.8831982612609863,0.0544590950012207
34,TH0011AV/viewpoint_simulated_129_surface0.pcd,Testing,2.19857120513916,1.917764663696289,0.2808065414428711
35,TH0011AV/viewpoint_simulated_13_surface0.pcd,Testing,1.9701825380325317,1.9316545724868774,0.0385279655456543
36,TH0011AV/viewpoint_simulated_130_surface0.pcd,Testing,2.0555663108825684,1.9172242879867554,0.138342022895813
37,TH0011AV/viewpoint_simulated_131_surface0.pcd,Testing,2.0527234077453613,1.939978003501892,0.11274540424346924
